Codigo_Entidad,Entidad,poblacion_total
27745,Sipí,3725
27787,Tadó,21386
27800,Unguía,14517
27810,Unión Panamericana,8044
41000,Huila,1317066
41001,Neiva,434125
41006,Acevedo,29284
41013,Agrado,10331
41016,Aipe,19047
41020,Algeciras,25581
41026,Altamira,5072
41078,Baraya,9225
41132,Campoalegre,35618
41206,Colombia,8327
41244,Elías,5057
41298,Garzón,84739
41306,Gigante,27215
41319,Guadalupe,20635
41349,Hobo,8726
41357,Iquira,10733
41359,Isnos,29761
41378,La Argentina,15450
41396,La Plata,73957
41483,Nátaga,7733
41503,Oporapa,13805
41518,Paicol,8157
41524,Palermo,29885
41530,Palestina,13242
41548,Pital,16272
41551,Pitalito,153924
41615,Rivera,30279
41660,Saladoblanco,12189
41668,San Agustín,39474
41676,Santa María,12035
41770,Suaza,27802
41791,Tarqui,20680
41797,Tesalia,13007
41799,Tello,13719
41801,Teruel,9207
41807,Timaná,25672
41872,Villavieja,8238
41885,Yaguará,8863
44000,La Guajira,1160564
44001,Riohacha,236505
44035,Albania,39411
44078,Barrancas,47497
44090,Dibulla,52352
44098,Distracción,16037
44110,El Molino,8483
44279,Fonseca,58089
44378,Hatonuevo,26164
44420,La Jagua del Pilar,4513
44430,Maicao,229680
44560,Manaure,108324
44650,San Juan del Cesar,62642
44847,Uribia,222105
44855,Urumita,12948
44874,Villanueva,35814
47000,Magdalena,1686580
47001,Santa Marta,634476
47030,Algarrobo,20199
47053,Aracataca,49882
47058,Ariguaní,35830
47161,Cerro San Antonio,12288
47170,Chibolo,28027
47189,Ciénaga,151730
47205,Concordia,12246
47245,El Banco,82610
47258,El Piñón,28296
47268,El Retén,24111
47288,Fundación,83771
47318,Guamal,31789
47460,Nueva Granada,24816
47541,Pedraza,11173
47545,Pijiño del Carmen,15366
47551,Pivijay,44634
47555,Plato,78975
47570,Puebloviejo,37913
47605,Remolino,14607
47660,Sabanas de San Ángel,18576
47675,Salamina,13647
47692,San Sebastián de Buenavista,24033
47703,San Zenón,15224
47707,Santa Ana,31119
47720,Santa Bárbara de Pinto,12444
47745,Sitionuevo,32545
47798,Tenerife,15871
47960,Zapayán,12187
47980,Zona Bananera,88195
50000,Meta,1266001
50001,Villavicencio,642838
50006,Acacías,110624
50110,Barranca de Upía,8480
50124,Cabuyaro,7441
50150,Castilla La Nueva,18748
50223,Cubarral,8243
50226,Cumaral,27529
50245,El Calvario,2072
50251,El Castillo,9389
50270,El Dorado,4601
50287,Fuente de Oro,14342
50313,Granada,82740
50318,Guamal,17636
50325,Mapiripán,8121
50330,Mesetas,13164
50350,La Macarena,32988
50370,Uribe,10891
50400,Lejanías,13470
50450,Puerto Concordia,9773
50568,Puerto Gaitán,56559
50573,Puerto López,36024
50577,Puerto Lleras,12070
50590,Puerto Rico,15117
50606,Restrepo,22933
50680,San Carlos de Guaroa,15698
50683,San Juan de Arama,10590
50686,San Juanito,1540
50689,San Martín,31646
50711,Vistahermosa,20734
52000,Nariño,1903558
52001,Pasto,451383
52019,Albán,10822
52022,Aldana,8570
52036,Ancuyá,9720
52051,Arboleda,9978
52079,Barbacoas,70578
52083,Belén,7055
52110,Buesaco,27675
52203,Colón,9560
52207,Consacá,16501
52210,Contadero,8333
52215,Córdoba,18584
52224,Cuaspud,10898
52227,Cumbal,44492
52233,Cumbitara,6724
52240,Chachagüí,18063
52250,El Charco,25645
52254,El Peñol,8649
52256,El Rosario,14218
52258,El Tablón de Gómez,16570
52260,El Tambo,16184
52287,Funes,8232
52317,Guachucal,22651
52320,Guaitarilla,12943
52323,Gualmatán,8359
52352,Iles,8686
52354,Imués,8749
52356,Ipiales,135069
52378,La Cruz,21639
52381,La Florida,11271
52385,La Llanada,7406
52390,La Tola,8827
52399,La Unión,37773
52405,Leiva,11044
52411,Linares,11416
52418,Los Andes,10739
52427,Magüi,31166
52435,Mallama,10084
52473,Mosquera,14130
52480,Nariño,5028
52490,Olaya Herrera,30414
52506,Ospina,7959
52520,Francisco Pizarro,17174
52540,Policarpa,11281
52560,Potosí,11708
52565,Providencia,6323
52573,Puerres,9515
52585,Pupiales,19402
52612,Ricaurte,24711
52621,Roberto Payán,14261
52678,Samaniego,33232
52683,Sandoná,23200
52685,San Bernardo,10326
52687,San Lorenzo,21000
52693,San Pablo,17243
52694,San Pedro de Cartago,7734
52696,Santa Bárbara,15880
52699,Santacruz,12190
52720,Sapuyes,8192
52786,Taminango,20435
52788,Tangua,15966
52835,San Andrés de Tumaco,304783
52838,Túquerres,52401
52885,Yacuanquer,12814
54000,Norte de Santander,1880010
54001,Cúcuta,886008
54003,Ábrego,39691
54051,Arboledas,11614
54099,Bochalema,10165
54109,Bucarasica,8162
54125,Cácota,3386
54128,Cachirá,13253
54172,Chinácota,21720
54174,Chitagá,14478
54206,Convención,23266
54223,Cucutilla,9636
54239,Durania,5522
54245,El Carmen,16298
54250,El Tarra,28522
54261,El Zulia,34887
54313,Gramalote,9024
54344,Hacarí,12261
54347,Herrán,8939
54377,Labateca,7675
54385,La Esperanza,13920
54398,La Playa,9460
54405,Los Patios,113679
54418,Lourdes,4948
54480,Mutiscua,5138
54498,Ocaña,150187
54518,Pamplona,59591
54520,Pamplonita,6743
54553,Puerto Santander,10726
54599,Ragonvalia,7190
54660,Salazar,12521
54670,San Calixto,15060
54673,San Cayetano,9475
54680,Santiago,4358
54720,Sardinata,31649
54743,Silos,7784
54800,Teorama,20555
54810,Tibú,73050
54820,Toledo,18960
54871,Villa Caro,6006
54874,Villa del Rosario,134503
63000,Quindío,618333
63001,Armenia,338552
63111,Buenavista,3533
63130,Calarcá,82966
63190,Circasia,32282
63212,Córdoba,6475
63272,Filandia,13786
63302,Génova,8498
63401,La Tebaida,38213
63470,Montenegro,41974
63548,Pijao,5924
63594,Quimbaya,35021
63690,Salento,11109
66000,Risaralda,1104232
66001,Pereira,540500
66045,Apía,14169
66075,Balboa,7391
66088,Belén de Umbría,28286
66170,Dosquebradas,261568
66318,Guática,14006
66383,La Celia,8580
66400,La Virginia,31942
66440,Marsella,19363
66456,Mistrató,20686
66572,Pueblo Rico,20277
66594,Quinchía,31700
66682,Santa Rosa de Cabal,91291
66687,Santuario,14473
68000,Santander,2623026
68001,Bucaramanga,682778
68013,Aguada,2082
68020,Albania,4602
68051,Aratoca,9834
68077,Barbosa,37308
68079,Barichara,13456
68081,Barrancabermeja,250219
68092,Betulia,7338
68101,Bolívar,12800
68121,Cabrera,2286
68132,California,2689
68147,Capitanejo,6675
68152,Carcasí,5226
68160,Cepitá,2389
68162,Cerrito,8168
68167,Charalá,14819
68169,Charta,3506
68176,Chima,3500
68179,Chipatá,5715
68190,Cimitarra,38000
68207,Concepción,6753
68209,Confines,3907
68211,Contratación,4372
68217,Coromoro,6095
68229,Curití,15751
